country,speed
1,5.77
2,1.97
3,1.24
4,
5,
6,1.29
7,35.14
8,23.71
9,46
10,6.74
11,2.39
12,
13,4.41
14,4.1
15,18.22
16,8.82
17,60.39
18,1.92
19,
20,4.29
21,5.84
22,4.15
23,1.02
24,24
25,21.28
26,13.6
27,3.25
28,5.56
29,2.46
30,11.28
31,4.09
32,
33,5.83
34,28.63
35,
36,1.52
37,1.25
38,35.95
39,
40,1.98
41,25.3
42,7.64
43,0.92
44,0.81
45,2.88
46,10.11
47,13.3
48,1.4
49,2.03
50,18.85
51,24.87
52,2.76
53,1.61
54,7.37
55,1.61
56,5.18
57,
58,1.23
59,25.86
60,11.1
61,
62,4.9
63,1.86
64,2.64
65,2.86
66,0.94
67,
68,2.38
69,3
70,9.21
71,3.94
72,0.85
73,3.8
74,40.12
75,
76,1.73
77,1.13
78,11.69
79,5.38
80,2.39
81,
82,1.49
83,1.42
84,1.45
85,5.05
86,0.95
87,0.86
88,4.35
89,6.25
90,36.71
91,1.17
92,11.02
93,2.56
94,28.09
95,
96,
97,17.06
98,22.9
99,1.27
100,0.84
101,2.78
102,15.1
103,9.95
104,6.19
105,3.83
106,2.65
107,18.57
108,
109,
110,
111,24
112,
113,19.48
114,17.08
115,2.6
116,
117,3.18
118,
119,2.62
120,1.96
121,17.71
122,21.41
123,2.52
124,11.3
125,1.33
126,1.15
127,5.19
128,
129,2.2
130,
131,4.74
132,27.91
133,6.72
134,2.47
135,6.38
136,3.31
137,4.45
138,
139,28.94
140,11.64
141,1.7
142,43.99
143,8.25
144,11.37
145,1.57
146,20
147,1.21
148,0.7
149,1.76
150,1.72
151,29.92
152,2.76
153,23.77
154,0.65
155,34.01
156,
157,13.51
158,3.93
159,2.8
160,1.5
161,1.32
162,38.6
163,2.58
164,17.51
165,3.13
166,1.9
167,1.13
168,0.83
169,7.05
170,
171,0.31
172,
173,27.17
174,20.2
175,0.56
176,15.6
177,3.67
178,0.49
179,1.56
180,0.95
181,4.03
182,1.26
183,13.88
184,4.15
185,27.19
186,5.69
187,2.64
188,
189,2.64
190,2.36
191,19.73
192,1.6
193,3.96
194,2.42
195,
196,
197,3.85
198,
199,27.14
200,0.6